snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
118,236000,-1.200878e+07,-0.0791,-5.935895e+07,-0.3908,2,1.034770e-20,0.0791,3.7161
119,238000,-9.536309e+06,-0.0628,-5.721997e+07,-0.3767,2,1.061319e-20,0.0774,4.2069
120,240000,-7.063841e+06,-0.0465,-5.506176e+07,-0.3625,2,1.029968e-20,0.0792,3.7330
121,242000,-4.591373e+06,-0.0302,-5.289826e+07,-0.3483,2,1.040237e-20,0.0783,3.6819
122,244000,-2.118905e+06,-0.0140,-5.070870e+07,-0.3339,2,1.028288e-20,0.0796,3.4329
123,246000,3.535629e+05,0.0023,-4.856154e+07,-0.3197,2,1.049430e-20,0.0779,3.7681
124,248000,2.826031e+06,0.0186,-4.641533e+07,-0.3056,2,1.060332e-20,0.0760,4.0559
125,250000,5.298499e+06,0.0349,-4.423463e+07,-0.2912,2,1.073372e-20,0.0746,3.9609
126,252000,7.770967e+06,0.0512,-4.208212e+07,-0.2771,2,1.078236e-20,0.0775,3.5041
127,254000,1.024344e+07,0.0674,-3.990970e+07,-0.2628,2,1.056742e-20,0.0803,3.3833
128,256000,1.271590e+07,0.0837,-3.778431e+07,-0.2488,2,1.071415e-20,0.0786,3.7192
129,258000,1.518837e+07,0.1000,-3.562042e+07,-0.2345,2,1.070709e-20,0.0772,3.4995
130,260000,1.766084e+07,0.1163,-3.345207e+07,-0.2203,2,1.071820e-20,0.0805,3.4969
131,262000,2.013331e+07,0.1326,-3.128756e+07,-0.2060,2,1.060118e-20,0.0781,3.8113
132,264000,2.260577e+07,0.1488,-2.911133e+07,-0.1917,2,1.080630e-20,0.0772,3.6139
133,266000,2.507824e+07,0.1651,-2.694616e+07,-0.1774,2,1.083558e-20,0.0753,3.5726
134,268000,2.755071e+07,0.1814,-2.476217e+07,-0.1630,2,1.094596e-20,0.0782,3.2880
135,270000,3.002318e+07,0.1977,-2.258838e+07,-0.1487,2,1.106125e-20,0.0782,3.7126
136,272000,3.249565e+07,0.2140,-2.041663e+07,-0.1344,2,1.119235e-20,0.0787,3.8798
137,274000,3.496812e+07,0.2302,-1.825086e+07,-0.1202,2,1.111116e-20,0.0793,3.9345
138,276000,3.744058e+07,0.2465,-1.605555e+07,-0.1057,2,1.110678e-20,0.0810,3.3969
139,278000,3.991305e+07,0.2628,-1.389490e+07,-0.0915,2,1.133227e-20,0.0766,3.8908
140,280000,4.238552e+07,0.2791,-1.171799e+07,-0.0772,2,1.133848e-20,0.0745,3.9884
141,282000,4.485799e+07,0.2954,-9.540947e+06,-0.0628,2,1.139198e-20,0.0750,4.1181
142,284000,4.733046e+07,0.3116,-7.363502e+06,-0.0485,2,1.126211e-20,0.0789,3.8382
143,286000,4.980292e+07,0.3279,-5.192464e+06,-0.0342,2,1.135889e-20,0.0768,3.3997
144,288000,5.227539e+07,0.3442,-3.018272e+06,-0.0199,2,1.138599e-20,0.0783,4.1521
145,290000,5.474786e+07,0.3605,-8.363394e+05,-0.0055,2,1.115027e-20,0.0766,4.0905
146,292000,5.722033e+07,0.3767,1.321694e+06,0.0087,2,1.147060e-20,0.0767,3.5663
147,294000,5.969280e+07,0.3930,3.480428e+06,0.0229,2,1.185283e-20,0.0757,3.5284
148,296000,6.216526e+07,0.4093,5.639370e+06,0.0371,2,1.186955e-20,0.0788,4.1368
149,298000,6.463773e+07,0.4256,7.837792e+06,0.0516,2,1.212621e-20,0.0742,3.6540
150,300000,6.711020e+07,0.4419,1.000737e+07,0.0659,2,1.165623e-20,0.0807,3.2698
