snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
136,272000,-6.075200e+08,-4.0000,-6.206033e+08,-4.0861,1,2.263435e-21,0.0883,1.0000
137,274000,-6.075200e+08,-4.0000,-6.206349e+08,-4.0864,1,2.263277e-21,0.0883,1.0000
138,276000,-6.075200e+08,-4.0000,-6.206440e+08,-4.0864,1,2.263224e-21,0.0883,1.0000
139,278000,-6.075200e+08,-4.0000,-6.206790e+08,-4.0866,1,2.263002e-21,0.0883,1.0000
140,280000,-6.075200e+08,-4.0000,-6.206967e+08,-4.0868,1,2.262891e-21,0.0883,1.0000
141,282000,-6.075200e+08,-4.0000,-6.207148e+08,-4.0869,1,2.262811e-21,0.0883,1.0000
142,284000,-6.075200e+08,-4.0000,-6.207284e+08,-4.0870,1,2.262760e-21,0.0883,1.0000
143,286000,-6.075200e+08,-4.0000,-6.207555e+08,-4.0871,1,2.262578e-21,0.0883,1.0000
144,288000,-6.075200e+08,-4.0000,-6.207805e+08,-4.0873,1,2.262464e-21,0.0883,1.0000
145,290000,-6.075200e+08,-4.0000,-6.207921e+08,-4.0874,1,2.262400e-21,0.0883,1.0000
146,292000,-6.075200e+08,-4.0000,-6.208309e+08,-4.0876,1,2.262133e-21,0.0883,1.0000
147,294000,-6.075200e+08,-4.0000,-6.208689e+08,-4.0879,1,2.261962e-21,0.0883,1.0000
148,296000,-6.075200e+08,-4.0000,-6.209080e+08,-4.0881,1,2.261717e-21,0.0883,1.0000
149,298000,-6.075200e+08,-4.0000,-6.209053e+08,-4.0881,1,2.261743e-21,0.0883,1.0000
150,300000,-6.075200e+08,-4.0000,-6.209306e+08,-4.0883,1,2.261583e-21,0.0883,1.0000
151,302000,-6.075200e+08,-4.0000,-6.209591e+08,-4.0885,1,2.261435e-21,0.0883,1.0000
152,304000,-6.075200e+08,-4.0000,-6.209881e+08,-4.0887,1,2.261283e-21,0.0883,1.0000
153,306000,-6.075200e+08,-4.0000,-6.210190e+08,-4.0889,1,2.261081e-21,0.0883,1.0000
154,308000,-6.075200e+08,-4.0000,-6.210675e+08,-4.0892,1,2.260793e-21,0.0883,1.0000
155,310000,-6.075200e+08,-4.0000,-6.210737e+08,-4.0892,1,2.260775e-21,0.0883,1.0000
156,312000,-6.075200e+08,-4.0000,-6.210975e+08,-4.0894,1,2.260659e-21,0.0883,1.0000
157,314000,-6.075200e+08,-4.0000,-6.211192e+08,-4.0895,1,2.260565e-21,0.0883,1.0000
158,316000,-6.075200e+08,-4.0000,-6.211539e+08,-4.0898,1,2.260336e-21,0.0883,1.0000
159,318000,-6.075200e+08,-4.0000,-6.211746e+08,-4.0899,1,2.260211e-21,0.0883,1.0000
160,320000,-6.075200e+08,-4.0000,-6.211747e+08,-4.0899,1,2.260193e-21,0.0883,1.0000
161,322000,-6.075200e+08,-4.0000,-6.212115e+08,-4.0901,1,2.260034e-21,0.0883,1.0000
162,324000,-6.075200e+08,-4.0000,-6.212436e+08,-4.0904,1,2.259859e-21,0.0883,1.0000
163,326000,-6.075200e+08,-4.0000,-6.212500e+08,-4.0904,1,2.259797e-21,0.0883,1.0000
164,328000,-6.075200e+08,-4.0000,-6.212646e+08,-4.0905,1,2.259731e-21,0.0883,1.0000
165,330000,-6.075200e+08,-4.0000,-6.212712e+08,-4.0905,1,2.259710e-21,0.0883,1.0000
166,332000,-6.075200e+08,-4.0000,-6.213231e+08,-4.0909,1,2.259409e-21,0.0883,1.0000
167,334000,-6.075200e+08,-4.0000,-6.213377e+08,-4.0910,1,2.259316e-21,0.0883,1.0000
168,336000,-6.075200e+08,-4.0000,-6.213358e+08,-4.0910,1,2.259320e-21,0.0883,1.0000
169,338000,-6.075200e+08,-4.0000,-6.213945e+08,-4.0914,1,2.258988e-21,0.0883,1.0000
170,340000,-6.075200e+08,-4.0000,-6.214122e+08,-4.0915,1,2.258890e-21,0.0883,1.0000
171,342000,-6.075200e+08,-4.0000,-6.214221e+08,-4.0915,1,2.258828e-21,0.0883,1.0000
172,344000,-6.075200e+08,-4.0000,-6.214647e+08,-4.0918,1,2.258589e-21,0.0883,1.0000
173,346000,-6.075200e+08,-4.0000,-6.215019e+08,-4.0921,1,2.258378e-21,0.0883,1.0000
174,348000,-6.075200e+08,-4.0000,-6.215110e+08,-4.0921,1,2.258298e-21,0.0883,1.0000
175,350000,-6.075200e+08,-4.0000,-6.215526e+08,-4.0924,1,2.258108e-21,0.0883,1.0000
176,352000,-6.075200e+08,-4.0000,-6.215600e+08,-4.0924,1,2.258071e-21,0.0883,1.0000
177,354000,-6.075200e+08,-4.0000,-6.215941e+08,-4.0927,1,2.257900e-21,0.0883,1.0000
178,356000,-6.075200e+08,-4.0000,-6.215814e+08,-4.0926,1,2.257927e-21,0.0883,1.0000
179,358000,-6.075200e+08,-4.0000,-6.215834e+08,-4.0926,1,2.257942e-21,0.0883,1.0000
180,360000,-6.075200e+08,-4.0000,-6.215903e+08,-4.0926,1,2.257898e-21,0.0883,1.0000
181,362000,-6.075200e+08,-4.0000,-6.216017e+08,-4.0927,1,2.257828e-21,0.0883,1.0000
182,364000,-6.075200e+08,-4.0000,-6.216212e+08,-4.0928,1,2.257728e-21,0.0883,1.0000
183,366000,-6.075200e+08,-4.0000,-6.215832e+08,-4.0926,1,2.257935e-21,0.0883,1.0000
184,368000,-6.075200e+08,-4.0000,-6.215827e+08,-4.0926,1,2.257918e-21,0.0883,1.0000
185,370000,-6.075200e+08,-4.0000,-6.215852e+08,-4.0926,1,2.257906e-21,0.0883,1.0000
186,372000,-6.075200e+08,-4.0000,-6.215868e+08,-4.0926,1,2.257880e-21,0.0883,1.0000
187,374000,-6.075200e+08,-4.0000,-6.216100e+08,-4.0928,1,2.257770e-21,0.0883,1.0000
188,376000,-6.075200e+08,-4.0000,-6.216012e+08,-4.0927,1,2.257833e-21,0.0883,1.0000
189,378000,-6.075200e+08,-4.0000,-6.215799e+08,-4.0926,1,2.257997e-21,0.0883,1.0000
190,380000,-6.075200e+08,-4.0000,-6.215850e+08,-4.0926,1,2.257881e-21,0.0883,1.0000
191,382000,-6.075200e+08,-4.0000,-6.216083e+08,-4.0928,1,2.257799e-21,0.0883,1.0000
192,384000,-6.075200e+08,-4.0000,-6.216045e+08,-4.0927,1,2.257794e-21,0.0883,1.0000
193,386000,-6.075200e+08,-4.0000,-6.215933e+08,-4.0927,1,2.257836e-21,0.0883,1.0000
194,388000,-6.075200e+08,-4.0000,-6.215874e+08,-4.0926,1,2.257900e-21,0.0883,1.0000
195,390000,-6.075200e+08,-4.0000,-6.216128e+08,-4.0928,1,2.257783e-21,0.0883,1.0000
196,392000,-6.075200e+08,-4.0000,-6.216427e+08,-4.0930,1,2.257579e-21,0.0883,1.0000
197,394000,-6.075200e+08,-4.0000,-6.216314e+08,-4.0929,1,2.257658e-21,0.0883,1.0000
