snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
191,382000,2.871586e+08,1.8907,1.908593e+08,1.2566,2,1.532569e-20,0.0805,3.8302
192,384000,2.846861e+08,1.8744,1.883778e+08,1.2403,2,1.483529e-20,0.0823,3.7764
193,386000,2.822137e+08,1.8581,1.859105e+08,1.2241,2,1.457880e-20,0.0783,3.4129
194,388000,2.797412e+08,1.8419,1.834419e+08,1.2078,2,1.446226e-20,0.0748,3.5989
195,390000,2.772687e+08,1.8256,1.809478e+08,1.1914,2,1.542562e-20,0.0798,3.2617
196,392000,2.747963e+08,1.8093,1.784536e+08,1.1750,2,1.472469e-20,0.0770,3.8994
197,394000,2.723238e+08,1.7930,1.759960e+08,1.1588,2,1.468030e-20,0.0753,3.4246
198,396000,2.698513e+08,1.7767,1.735654e+08,1.1428,2,1.437304e-20,0.0778,3.6423
199,398000,2.673789e+08,1.7605,1.710866e+08,1.1265,2,1.474309e-20,0.0782,3.7561
200,400000,2.649064e+08,1.7442,1.686341e+08,1.1103,2,1.484886e-20,0.0791,3.8792
201,402000,2.624339e+08,1.7279,1.662270e+08,1.0945,2,1.429001e-20,0.0779,3.7103
202,404000,2.599615e+08,1.7116,1.637779e+08,1.0783,2,1.479203e-20,0.0784,3.2278
203,406000,2.574890e+08,1.6953,1.613200e+08,1.0622,2,1.446053e-20,0.0759,3.7671
204,408000,2.550165e+08,1.6791,1.589004e+08,1.0462,2,1.427994e-20,0.0770,4.1398
205,410000,2.525441e+08,1.6628,1.564824e+08,1.0303,2,1.436065e-20,0.0801,3.6358
206,412000,2.500716e+08,1.6465,1.540636e+08,1.0144,2,1.458879e-20,0.0786,3.9171
207,414000,2.475991e+08,1.6302,1.516245e+08,0.9983,2,1.438895e-20,0.0807,3.6550
208,416000,2.451267e+08,1.6139,1.492124e+08,0.9824,2,1.414435e-20,0.0760,3.8479
209,418000,2.426542e+08,1.5977,1.467920e+08,0.9665,2,1.446629e-20,0.0788,3.6097
210,420000,2.401817e+08,1.5814,1.443916e+08,0.9507,2,1.414631e-20,0.0782,3.6565
211,422000,2.377092e+08,1.5651,1.419887e+08,0.9349,2,1.400828e-20,0.0782,3.7526
212,424000,2.352368e+08,1.5488,1.396010e+08,0.9192,2,1.395140e-20,0.0807,3.3254
213,426000,2.327643e+08,1.5326,1.372184e+08,0.9035,2,1.416905e-20,0.0779,3.4952
214,428000,2.302919e+08,1.5163,1.348386e+08,0.8878,2,1.377647e-20,0.0733,4.0048
215,430000,2.278194e+08,1.5000,1.324398e+08,0.8720,2,1.415640e-20,0.0784,4.0376
216,432000,2.253469e+08,1.4837,1.300224e+08,0.8561,2,1.385124e-20,0.0758,3.4972
217,434000,2.228744e+08,1.4674,1.276442e+08,0.8404,2,1.379637e-20,0.0789,3.2858
218,436000,2.204020e+08,1.4512,1.252618e+08,0.8247,2,1.385156e-20,0.0799,4.1511
219,438000,2.179295e+08,1.4349,1.229081e+08,0.8092,2,1.399544e-20,0.0803,3.3843
220,440000,2.154570e+08,1.4186,1.205344e+08,0.7936,2,1.369869e-20,0.0779,3.8038
221,442000,2.129846e+08,1.4023,1.181259e+08,0.7778,2,1.360171e-20,0.0790,3.4885
222,444000,2.105121e+08,1.3860,1.157405e+08,0.7621,2,1.336805e-20,0.0753,3.9388
223,446000,2.080396e+08,1.3698,1.133563e+08,0.7464,2,1.327856e-20,0.0795,4.1137
224,448000,2.055672e+08,1.3535,1.109743e+08,0.7307,2,1.353356e-20,0.0783,3.4942
225,450000,2.030947e+08,1.3372,1.085934e+08,0.7150,2,1.330102e-20,0.0766,3.2700
226,452000,2.006222e+08,1.3209,1.062149e+08,0.6993,2,1.348504e-20,0.0773,4.0268
227,454000,1.981498e+08,1.3046,1.038660e+08,0.6839,2,1.354964e-20,0.0829,3.5316
228,456000,1.956773e+08,1.2884,1.015159e+08,0.6684,2,1.327911e-20,0.0763,3.7960
229,458000,1.932048e+08,1.2721,9.915672e+07,0.6529,2,1.340729e-20,0.0796,4.2485
230,460000,1.907324e+08,1.2558,9.682645e+07,0.6375,2,1.308538e-20,0.0790,3.8265
231,462000,1.882599e+08,1.2395,9.447442e+07,0.6220,2,1.316503e-20,0.0771,3.7863
232,464000,1.857874e+08,1.2233,9.211365e+07,0.6065,2,1.314221e-20,0.0780,3.8203
233,466000,1.833150e+08,1.2070,8.980026e+07,0.5913,2,1.314757e-20,0.0788,3.8476
